Date,Date,Q (m3/s),T (C)
2022-05-13 00:00:00,2022-05-13 00:00:00,0.014897895,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.014470974,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.014932117,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.014409844,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.014603044,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.014676,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.015236817,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.015934352,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.016765622,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.017375463,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.016018795,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.017249151,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.016241699,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.015739082,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.015027258,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.015800685,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.016001215,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.015446146,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.015748783,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.015528217,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.014935144,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.014647117,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.013992715,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.013393005,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.013106783,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.013162886,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.012374944,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.012302134,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.012647191,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.013129381,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.013710565,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.014761156,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.016117999,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.016476064,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.016548296,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.016535448,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.015286483,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.014211367,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.015259072,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.015590351,
2022-05-14 00:00:00,2022-05-14 00:00:00,0.01538812,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.014847926,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.015018981,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.014649943,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.014671207,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.013974985,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.014018644,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.013143043,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.012504141,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.012188522,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.012236325,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.011913881,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.011644852,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.012574009,
2022-05-15 00:00:00,2022-05-15 00:00:00,0.014127541,
